X	Y	Elev	G	FA	Boug
221734	9944681	0.00	978014.0164	-18.9103623317	-18.4532527109
222847	9944682	0.00	978013.5782	-19.3485835972	-18.8215579201
223961	9944682	0.00	978013.3847	-19.5420350884	-18.954129738
225075	9944683	0.00	978013.4539	-19.4729156588	-18.8374697575
226189	9944683	0.00	978013.7679	-19.1589017923	-18.491420108
227302	9944684	0.00	978014.2745	-18.6522293335	-17.9681062724
228416	9944684	0.00	978014.8920	-18.0347308104	-17.3471534928
229530	9944684	0.00	978015.5175	-17.4092569891	-16.7275685755
230644	9944685	0.00	978016.0384	-16.8883368548	-16.2170671957
231757	9944685	0.00	978016.3455	-16.5812716258	-15.9199420267
232871	9944686	0.00	978016.3457	-16.5810736767	-15.9247705311
233985	9944686	0.00	978015.9740	-16.9527221006	-16.2933259206
235098	9944686	0.00	978015.2027	-17.7241018863	-17.051968602
236212	9944687	0.00	978014.0460	-18.8807312275	-18.1865633003
237326	9944687	0.00	978012.5618	-20.3649874884	-19.641610849
238439	9944688	0.00	978010.8467	-22.0800587307	-21.3238400305
239553	9944688	0.00	978009.0284	-23.8983275496	-23.1100214665
240667	9944688	0.00	978007.2534	-25.673395435	-24.8582957554
241780	9944689	0.00	978005.6722	-27.2545357285	-26.4219048428
242894	9944689	0.00	978004.4247	-28.5020702153	-27.6639255654
244008	9944690	0.00	978003.6247	-29.3020333913	-28.4714620805
245121	9944690	0.00	978003.3482	-29.578536458	-28.767778023
246235	9944690	0.00	978003.6243	-29.3024669649	-28.5210397936
247348	9944691	0.00	978004.4312	-28.4955365096	-27.7486807207
248462	9944691	0.00	978005.6976	-27.2291774543	-26.5168464841
249576	9944692	0.00	978007.3084	-25.6183365787	-24.9348967373
250689	9944692	0.00	978009.1160	-23.8107586531	-23.145460375
251803	9944692	0.00	978010.9539	-21.9728358138	-21.3110151797
252916	9944693	0.00	978012.6533	-20.2734661292	-19.5983347103
254030	9944693	0.00	978014.0592	-18.8675767285	-18.1623754232
255143	9944693	0.00	978015.0458	-17.8810007059	-17.1312400453
256257	9944694	0.00	978015.5285	-17.398250124	-16.593742549
257370	9944694	0.00	978015.4724	-17.4544172367	-16.590828333
258484	9944695	0.00	978014.8948	-18.0319978641	-17.1117006414
259597	9944695	0.00	978013.8639	-19.0629135949	-18.0950152716
260711	9944695	0.00	978012.4913	-20.4354701117	-19.4349836405
261824	9944696	0.00	978010.9213	-22.0054858502	-20.9917256581
262938	9944696	0.00	978009.3164	-23.6104117587	-22.6047915447
264051	9944696	0.00	978007.8418	-25.0849816911	-24.108469434
265165	9944697	0.00	978006.6500	-26.2768109865	-25.3473430642
266278	9944697	0.00	978005.8664	-27.060407143	-26.1905738561
267392	9944697	0.00	978005.5785	-27.348261562	-26.5435489802
268505	9944698	0.00	978005.8287	-27.0980283595	-26.3558394325
269619	9944698	0.00	978006.6115	-26.3152248735	-25.6248134783
270732	9944698	0.00	978007.8754	-25.0513596638	-24.3947053023
271845	9944699	0.00	978009.5289	-23.3978555499	-22.7513964095
272959	9944699	0.00	978011.4502	-21.4765386911	-20.8135798502
274072	9944700	0.00	978013.4990	-19.4277694497	-18.7213031859
275186	9944700	0.00	978015.5293	-17.3974691227	-16.6230949477
276299	9944700	0.00	978017.4024	-15.5243359902	-14.6629549618
277412	9944701	0.00	978018.9983	-13.9284480639	-12.9684303739
278526	9944701	0.00	978020.2245	-12.7022364778	-11.640820177
279639	9944701	0.00	978021.0223	-11.9045127597	-10.7482775411
280753	9944702	0.00	978021.3689	-11.5578830115	-10.3222460278
281866	9944702	0.00	978021.2772	-11.6495232595	-10.3573119536
282979	9944702	0.00	978020.7918	-12.1349619704	-10.8142195132
284093	9944703	0.00	978019.9825	-12.9442509307	-11.6255118925
285206	9944703	0.00	978018.9370	-13.9897278874	-12.7030563412
286319	9944703	0.00	978017.7523	-15.1744954533	-13.9465992925
287433	9944704	0.00	978016.5260	-16.4007606811	-15.2524828003
288546	9944704	0.00	978015.3495	-17.577287081	-16.5217284043
289659	9944704	0.00	978014.3014	-18.625385394	-17.6668422637
290773	9944705	0.00	978013.4437	-19.4830848933	-18.6168926369
291886	9944705	0.00	978012.8194	-20.1073549244	-19.320630848
292999	9944705	0.00	978012.4523	-20.474459641	-19.7476432276
294113	9944705	0.00	978012.3481	-20.5787047829	-19.8877108975
295226	9944706	0.00	978012.4968	-20.4299581794	-19.7486991879
296339	9944706	0.00	978012.8764	-20.0503878251	-19.3533887191
297452	9944706	0.00	978013.4559	-19.4708637229	-18.7356932852
298566	9944707	0.00	978014.1994	-18.7274203464	-17.9366903782
299679	9944707	0.00	978015.0687	-17.8580894026	-17.0008289843
300792	9944707	0.00	978016.0265	-16.9003044824	-15.9725903834
301905	9944708	0.00	978017.0378	-15.88896775	-14.8937766991
303019	9944708	0.00	978018.0716	-14.8551696231	-13.8015036167
304132	9944708	0.00	978019.1013	-13.8254772843	-12.726889967
305245	9944709	0.00	978020.1051	-12.8216633629	-11.694375642
306358	9944709	0.00	978021.0660	-11.8607334748	-10.7215637689
307472	9944709	0.00	978021.9716	-10.9551263838	-9.8194719485
308585	9944709	0.00	978022.8138	-10.1129954775	-8.9930857119
309698	9944710	0.00	978023.5882	-9.3385247283	-8.2421278794
310811	9944710	0.00	978024.2945	-8.6322756442	-7.5619821067
311924	9944710	0.00	978024.9352	-7.9915945932	-6.9447302008
313038	9944711	0.00	978025.5156	-7.4111258309	-6.3802753779
314151	9944711	0.00	978026.0433	-6.8834718299	-5.8575249477
315264	9944711	0.00	978026.5268	-6.40002048	-5.3655964197
316377	9944711	0.00	978026.9748	-5.9519232588	-4.8949940499
317490	9944712	0.00	978027.3956	-5.5311672256	-4.4386836353
318604	9944712	0.00	978027.7951	-5.1316453787	-3.9929781199
319717	9944712	0.00	978028.1767	-4.7501030728	-3.5581410533
320830	9944712	0.00	978028.5399	-4.3868294496	-3.1386233864
321943	9944713	0.00	978028.8808	-4.0459757791	-2.7428732306
323056	9944713	0.00	978029.1914	-3.735417256	-2.3826968695
324169	9944713	0.00	978029.4606	-3.46612724	-2.0721983874
325282	9944714	0.00	978029.6757	-3.2510961429	-1.8263783155
326396	9944714	0.00	978029.8229	-3.103891879	-1.6595208439
327509	9944714	0.00	978029.8898	-3.037014938	-1.5835364044
328622	9944714	0.00	978029.8665	-3.0602395974	-1.6064449721
329735	9944715	0.00	978029.7476	-3.1791465201	-1.7311807863
330848	9944715	0.00	978029.5327	-3.3940376138	-1.954870091
331961	9944715	0.00	978029.2274	-3.6993821475	-2.2686822867
333074	9944715	0.00	978028.8429	-4.0838785218	-2.6582873488
221734	9943575	0.00	978014.4600	-18.4826285684	-18.0631367327
222848	9943576	0.00	978014.0329	-18.9097838422	-18.4107667916
223962	9943576	0.00	978013.8066	-19.1360838308	-18.5662180702
225075	9943576	0.00	978013.7985	-19.1441181961	-18.5176156323
226189	9943577	0.00	978013.9938	-18.9488661791	-18.2831957465
227303	9943577	0.00	978014.3456	-18.5970972089	-17.9104353577
228417	9943578	0.00	978014.7798	-18.1628999018	-17.4716707897
229530	9943578	0.00	978015.2029	-17.7397189947	-17.0565592326
230644	9943579	0.00	978015.5130	-17.429700044	-16.7621118536
231758	9943579	0.00	978015.6112	-17.3314830423	-16.6813344679
232871	9943579	0.00	978015.4148	-17.5278059112	-16.8917125302
233985	9943580	0.00	978014.8683	-18.0743478928	-17.4448446867
235099	9943580	0.00	978013.9515	-18.9911487666	-18.3584507388
236212	9943581	0.00	978012.6850	-20.2576891523	-19.6117596235
237326	9943581	0.00	978011.1303	-21.8123347961	-21.1449414392
238440	9943581	0.00	978009.3863	-23.5563745312	-22.8628197888
239553	9943582	0.00	978007.5803	-25.3623698359	-24.6426328446
240667	9943582	0.00	978005.8566	-27.0860412735	-26.3451554234
241781	9943583	0.00	978004.3622	-28.580500309	-27.8281018243
242894	9943583	0.00	978003.2313	-29.7113429209	-28.9604459705
244008	9943583	0.00	978002.5717	-30.3709895245	-29.6361557979
245122	9943584	0.00	978002.4520	-30.4907015138	-29.7858614963
246235	9943584	0.00	978002.8937	-30.0489257743	-29.3851627649
247349	9943585	0.00	978003.8677	-29.0749921627	-28.4586109349
248462	9943585	0.00	978005.2950	-27.6476751216	-27.0788433184
249576	9943585	0.00	978007.0540	-25.8886759386	-25.3608522648
250689	9943586	0.00	978008.9910	-23.9516264447	-23.4518853689
251803	9943586	0.00	978010.9350	-22.0076977387	-21.5179398168
252917	9943587	0.00	978012.7134	-20.2292653665	-19.7281816646
254030	9943587	0.00	978014.1694	-18.7732946356	-18.2388493211
255144	9943587	0.00	978015.1765	-17.7661434609	-17.1782643726
256257	9943588	0.00	978015.6513	-17.2913321908	-16.6344650578
257371	9943588	0.00	978015.5611	-17.3815175572	-16.6467099898
258484	9943588	0.00	978014.9272	-18.0154662619	-17.2017014924
259598	9943589	0.00	978013.8224	-19.12030197	-18.2348926358
260711	9943589	0.00	978012.3639	-20.5787546964	-19.63672238
