z (m)	gapi	ohm.m	dtime
-1000.00	62.75	64.84	79.92
-1000.20	58.76	11.92	83.07
-1000.40	59.46	8.12	84.02
-1000.60	60.92	69.38	81.89
-1000.80	60.91	15.89	82.29
-1001.00	62.99	141.07	81.58
-1001.20	61.86	89.76	81.24
-1001.40	62.38	9.14	83.74
-1001.60	60.60	16.20	82.10
-1001.80	60.01	15.58	83.87
-1002.00	58.45	25.37	82.30
-1002.20	60.96	75.46	81.16
-1002.40	54.92	9.81	82.02
-1002.60	61.53	262.69	81.38
-1002.80	55.83	65.83	81.56
-1003.00	57.95	67.01	80.10
-1003.20	58.36	4.86	84.43
-1003.40	56.82	8.34	82.34
-1003.60	55.87	69.96	80.33
-1003.80	60.91	29.51	82.30
-1004.00	43.52	13.13	77.60
-1004.20	38.23	6.48	82.46
-1004.40	42.45	8.12	78.13
-1004.60	45.56	7.20	81.62
-1004.80	43.62	15.28	75.51
-1005.00	39.47	7.59	84.66
-1005.20	42.69	8.38	80.00
-1005.40	42.73	5.38	82.62
-1005.60	41.30	19.96	70.05
-1005.80	40.53	17.06	73.85
-1006.00	37.29	7.31	82.91
-1006.20	38.64	9.32	76.91
-1006.40	40.61	10.98	76.70
-1006.60	36.66	8.84	75.54
-1006.80	43.13	12.98	76.29
-1007.00	42.13	11.81	77.05
-1007.20	41.18	17.05	74.08
-1007.40	41.60	5.50	84.23
-1007.60	42.29	8.26	80.11
-1007.80	38.66	15.69	74.61
-1008.00	61.04	32.05	80.58
-1008.20	61.93	13.11	82.56
-1008.40	57.61	40.10	82.05
-1008.60	61.28	160.21	80.82
-1008.80	58.96	57.44	80.94
-1009.00	58.67	22.28	83.34
-1009.20	57.76	5.72	85.89
-1009.40	58.29	52.42	82.08
-1009.60	59.50	157.20	80.73
-1009.80	56.62	24.89	81.41
-1010.00	57.53	6.97	82.64
-1010.20	58.51	4.94	84.30
-1010.40	62.68	54.02	80.30
-1010.60	57.90	8.57	82.35
-1010.80	56.48	4.88	85.22
-1011.00	40.35	5.42	85.47
-1011.20	36.90	7.31	78.10
-1011.40	40.26	5.81	87.42
-1011.60	38.99	7.47	79.49
-1011.80	42.38	15.10	75.35
-1012.00	43.19	16.01	78.77
-1012.20	39.73	11.56	74.27
-1012.40	43.94	11.16	77.98
-1012.60	35.64	6.66	83.01
-1012.80	37.54	6.55	83.59
-1013.00	40.80	9.53	76.87
-1013.20	43.18	6.67	84.39
-1013.40	42.13	6.09	84.11
-1013.60	44.33	5.23	87.25
-1013.80	43.33	7.57	83.25
-1014.00	39.44	18.25	74.35
-1014.20	36.73	16.20	72.85
-1014.40	41.07	6.50	83.51
-1014.60	42.69	11.62	79.90
-1014.80	40.36	5.61	84.25
-1015.00	54.55	7.55	83.61
-1015.20	58.85	6.49	84.51
-1015.40	62.25	37.64	82.16
-1015.60	55.20	119.46	80.82
-1015.80	58.19	293.88	82.45
-1016.00	60.97	5.51	84.32
-1016.20	55.13	7.36	82.71
-1016.40	59.81	7.71	82.96
-1016.60	58.52	78.74	81.14
-1016.80	59.35	8.94	83.19
-1017.00	44.92	7.74	83.00
-1017.20	42.63	7.88	80.35
-1017.40	41.18	11.73	78.75
-1017.60	42.69	6.83	87.01
-1017.80	41.05	6.32	86.57
-1018.00	41.27	5.05	86.06
-1018.20	41.63	9.17	79.69
-1018.40	40.41	8.49	80.24
-1018.60	41.22	7.17	84.30
-1018.80	42.67	17.02	71.87
-1019.00	42.31	16.27	72.74
-1019.20	39.90	9.86	79.47
-1019.40	37.48	11.47	72.68
-1019.60	40.52	5.78	87.42
-1019.80	38.15	8.65	77.34
-1020.00	38.60	7.85	78.66
-1020.20	44.65	13.83	76.17
-1020.40	41.84	6.32	83.90
-1020.60	36.41	12.68	74.44
-1020.80	36.57	7.02	81.07
-1021.00	60.37	8.12	82.51
-1021.20	59.77	26.86	81.74
-1021.40	59.48	5.12	84.97
-1021.60	62.36	14.62	82.76
-1021.80	57.69	7.62	82.98
-1022.00	59.24	217.46	80.97
-1022.20	57.67	43.03	81.36
-1022.40	56.19	8.53	83.28
-1022.60	57.21	18.78	82.66
-1022.80	59.97	16.19	82.26
-1023.00	61.41	59.33	82.61
-1023.20	58.40	43.07	80.37
-1023.40	56.78	141.43	80.98
-1023.60	59.91	6.24	83.74
-1023.80	55.28	35.46	81.97
-1024.00	57.04	4.88	84.21
-1024.20	55.70	6.07	85.09
-1024.40	57.33	10.08	83.44
-1024.60	58.44	11.71	82.65
-1024.80	62.40	12.41	83.56
-1025.00	41.81	5580.13	85.02
-1025.20	40.82	1401.99	80.38
-1025.40	40.69	19570.76	83.66
-1025.60	38.51	12315.94	81.41
-1025.80	40.49	1589.67	76.35
-1026.00	40.55	8.44	80.02
-1026.20	40.07	5.32	86.19
-1026.40	39.93	6.32	82.67
-1026.60	41.66	5.55	80.71
-1026.80	39.15	10.91	82.47
-1027.00	61.05	8.00	82.27
-1027.20	63.20	62.43	81.28
-1027.40	58.13	32.41	83.00
-1027.60	59.89	34.24	82.07
-1027.80	58.65	7.73	83.85
-1028.00	59.08	42.82	81.84
-1028.20	56.81	13.36	84.88
-1028.40	58.61	49.36	81.58
-1028.60	60.19	9.30	83.91
-1028.80	60.23	7.77	83.49
-1029.00	56.58	5.99	85.75
-1029.20	58.95	7.64	83.58
-1029.40	60.38	25.98	81.35
-1029.60	61.59	10.05	84.43
-1029.80	60.72	152.48	80.92
-1030.00	55.58	110.45	81.35
-1030.20	57.51	9.00	82.82
-1030.40	57.09	6.25	84.02
-1030.60	58.35	21.74	81.46
-1030.80	58.64	61.14	81.23
-1031.00	42.04	2994.81	78.35
-1031.20	40.16	17809.60	75.30
-1031.40	43.88	18771.30	84.73
-1031.60	40.85	3885.65	73.76
-1031.80	39.51	2123.23	86.16
-1032.00	41.61	1781.55	73.49
-1032.20	38.81	1613.72	82.11
-1032.40	38.96	1154.40	79.91
-1032.60	39.72	732.09	85.34
-1032.80	37.34	7969.89	79.85
-1033.00	39.13	69.48	72.39
-1033.20	38.06	12.57	79.31
-1033.40	38.38	6.03	79.01
-1033.60	38.93	5.96	81.05
-1033.80	36.78	12.27	73.85
-1034.00	38.97	18.39	68.57
-1034.20	40.01	9.59	75.54
-1034.40	43.09	5.05	82.91
-1034.60	42.78	6.81	77.73
-1034.80	39.48	8.94	77.64
-1035.00	58.64	13.31	83.47
-1035.20	60.82	5.13	85.18
-1035.40	59.94	37.23	82.06
-1035.60	56.12	4.70	83.40
-1035.80	58.03	8.51	85.05
-1036.00	58.07	7.82	82.60
-1036.20	56.51	27.25	82.58
-1036.40	58.71	21.99	82.24
-1036.60	61.81	6.12	81.79
-1036.80	61.27	105.50	81.51
-1037.00	42.43	37399.95	80.31
-1037.20	40.17	10649.88	76.26
-1037.40	40.04	367500.47	85.95
-1037.60	42.23	290104.69	73.26
-1037.80	39.31	654748.14	79.48
-1038.00	40.64	4886.63	74.61
-1038.20	38.42	2358.79	83.38
-1038.40	36.13	153.84	73.17
-1038.60	38.88	21.09	79.37
-1038.80	40.37	18.18	70.05
-1039.00	42.00	16.29	69.57
-1039.20	40.27	13.91	70.28
-1039.40	37.37	8.22	76.37
-1039.60	41.59	8.33	75.05
-1039.80	40.02	9.02	76.34
-1040.00	57.84	18.01	82.64
-1040.20	57.66	11.29	83.52
-1040.40	56.86	28.31	82.89
-1040.60	60.06	49.23	80.51
-1040.80	60.29	12.92	83.82
-1041.00	59.18	6.26	84.54
-1041.20	60.54	17.14	84.25
-1041.40	58.86	6.71	83.55
-1041.60	59.10	10.91	82.66
-1041.80	58.09	8.95	85.71
-1042.00	62.93	90.59	81.74
-1042.20	57.14	32.58	82.54
-1042.40	59.82	9.29	84.14
-1042.60	61.25	7.80	82.81
-1042.80	60.66	13.26	83.72
-1043.00	42.02	1077.90	77.94
-1043.20	39.88	22737.11	77.67
-1043.40	38.85	3245.24	72.38
-1043.60	39.92	35132.19	74.42
-1043.80	42.32	7412.91	73.71
-1044.00	41.41	14871.90	74.51
-1044.20	38.93	1660.37	79.59
-1044.40	35.73	1375.88	75.86
-1044.60	40.28	1173.98	85.57
-1044.80	43.79	77072.30	74.17
-1045.00	41.54	4801.43	77.79
-1045.20	43.56	1947089.32	78.00
-1045.40	41.55	70.23	78.93
-1045.60	36.82	73.63	78.46
-1045.80	39.11	6.43	80.71
-1046.00	40.59	19.69	68.39
-1046.20	38.34	7.15	79.39
-1046.40	40.11	5.27	80.76
-1046.60	37.44	7.47	79.02
-1046.80	40.86	8.05	75.37
-1047.00	42.58	8.67	75.97
-1047.20	37.75	10.55	73.26
-1047.40	40.72	5.76	81.14
-1047.60	41.17	7.67	76.45
-1047.80	39.90	6.88	78.48
-1048.00	58.91	32.08	80.83
-1048.20	57.51	14.28	83.51
-1048.40	59.11	40.56	80.31
-1048.60	58.01	40.19	81.36
-1048.80	59.48	8.00	83.81
-1049.00	56.31	38.69	82.12
-1049.20	56.07	267.23	80.95
-1049.40	63.39	17.92	82.79
-1049.60	58.39	47.02	82.70
-1049.80	58.38	6.55	83.06
-1050.00	58.38	6.55	83.06
